Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,18.75907
2001,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,18.54498
2002,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,18.66326
2003,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,18.82021
2004,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,18.97643
2005,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,19.133229999999998
2006,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,19.289720000000003
2007,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,19.4456
2008,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,19.6013
2009,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,19.75685
2010,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,19.91232
2011,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,20.067610000000002
2012,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,20.22277
2013,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,20.39251
2014,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,20.594170000000002
2015,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,20.91505
2016,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,21.23535
2017,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Ukupno,21.55497
2000,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,6.45104
2001,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,6.25821
2002,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,6.46762
2003,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,6.726439999999999
2004,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,6.9875300000000005
2005,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,7.249680000000001
2006,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,7.514010000000001
2007,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,7.780530000000001
2008,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,8.04923
2009,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,8.32012
2010,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,8.59319
2011,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,8.86843
2012,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,9.14586
2013,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,9.49302
2014,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,9.88303
2015,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,10.34628
2016,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,10.80952
2017,Udio stanovništva koji koristi sanitarne usluge kojima se sigurno upravlja,Postotak,Urbano,11.27276
2008,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.09766
2009,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.10578000000001
2010,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.1139
2011,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.12205
2012,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.13022
2013,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.13837
2014,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.14654
2015,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.15502
2016,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ukupno,97.1638
2008,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2009,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2010,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2011,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2012,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2013,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2014,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2015,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2016,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Ruralno,95.95402
2008,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2009,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2010,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2011,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2012,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2013,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2014,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2015,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
2016,Udio stanovništva sa osnovnim uređajima za pranje ruku u prostorijama,Postotak,Urbano,98.49996999999999
