Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Spol,Value
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,12.785969999999999
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,12.49147
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,13.839789999999999
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,12.686169999999999
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,14.72831
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,14.770029999999998
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Žene,12.58121
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,35.76331
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,34.037859999999995
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,33.62942
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,34.30956
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,32.87607
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,29.739790000000003
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,31.98685
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,28.7234
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,26.763790000000004
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,27.47632
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,27.58383
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,30.993879999999997
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,27.73245
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Žene,29.80919
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,85.92636999999999
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.0791
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,88.19074
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.03985
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.27805
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.56123000000001
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.17437
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.87396
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.16771999999999
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,87.28769
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.16017
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.07518
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,83.88409
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,"Poljoprivreda, šumarstvo i ribolov",Muškarci,86.98255999999999
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,27.635279999999998
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,27.268359999999998
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,24.05602
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,21.29026
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,20.23733
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,18.809829999999998
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,22.10485
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,20.58875
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,19.35245
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,19.082629999999998
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,20.16743
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,21.69416
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,20.45402
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Nepoljoprivredna,Muškarci,19.84486
2006,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,39.157509999999995
2007,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,38.640390000000004
2008,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,36.65426
2009,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,33.49041
2010,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,32.0531
2011,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,31.5605
2012,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,34.67903
2013,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,33.16267
2014,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,30.759140000000002
2015,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,31.71107
2016,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,32.10042
2017,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,33.4094
2018,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,30.313909999999996
2019,"Udio neformalne zaposlenosti u ukupnoj zaposlenosti, prema sektorima i spolu (Usklađene procjene ILO-a)",Postotak,Bez podjele,Muškarci,30.856540000000003
