Year,SERIES,UNIT_MEASURE,Spol,Zanimanje,Value
2003,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.965
2004,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.978
2005,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.879
2006,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.9159999999999999
2007,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.97
2008,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.9640000000000001
2009,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.9740000000000001
2010,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.001
2011,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.071
2012,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.171
2013,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.2109999999999999
2014,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.266
2015,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.2919999999999998
2000,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,44.687
2001,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,43.968
2002,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,44.663999999999994
2003,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,48.341
2004,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,48.093
2005,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,48.687
2006,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,49.394
2007,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,50.221000000000004
2008,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,51.898
2009,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,53.096000000000004
2010,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,54.867
2011,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,56.085
2012,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,58.92100000000001
2013,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,59.005
2014,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,61.318999999999996
2015,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,61.798
2016,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,54.726000000000006
2017,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,55.647
2018,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Medicinsko osoblje i babice,57.333
2000,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.933
2001,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.808
2002,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.825
2003,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.2229999999999999
2004,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.9180000000000001
2005,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.9180000000000001
2006,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.045
2007,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.9880000000000002
2008,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.795
2009,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,1.82
2010,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.151
2011,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.207
2012,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.427
2013,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.2840000000000003
2014,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.369
2015,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Zubari,2.4
2013,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje,79.5
2014,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje,78.2
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje,78.6
2016,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje,78.2
2017,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje,77.7
2018,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Medicinsko osoblje,77.5
2003,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,90.5
2004,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,91.5
2005,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,91.5
2006,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,90.4
2007,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,89.2
2008,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,89.5
2009,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,88.3
2010,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,88.8
2011,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,88.2
2012,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,87.9
2013,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,87.7
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Žene,Doktori medicine,87.7
2013,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje,20.5
2014,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje,21.8
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje,21.4
2016,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje,21.8
2017,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje,22.3
2018,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Medicinsko osoblje,22.5
2003,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,9.5
2004,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,8.5
2005,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,8.5
2006,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,9.6
2007,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,10.8
2008,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,10.5
2009,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,11.7
2010,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,11.2
2011,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,11.8
2012,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,12.1
2013,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,12.3
2015,"Gustina i distribucija zdravstvenih radnika, prema spolu i vrsti zanimanja",Postotak,Muškarci,Doktori medicine,12.3
