Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
SPAR_02,IHR Coordination and National IHR Focal Point Functions,Koordinacija Međunarodnih zdravstvenih propisa (IHR) i nacionalne funkcije kontakt osoba za IHR,SPAR_02,Koordinacija Međunarodnih zdravstvenih propisa (IHR) i nacionalne funkcije kontakt osoba za IHR,1,1
SPAR_03,Zoonotic events and the human–animal interface,Zoonotski događaji i sučelje čovjeka i životinje,SPAR_03,Zoonotski događaji i sučelje čovjeka i životinje,1,1
SPAR_04,Food safety,Sigurnost hrane,SPAR_04,Sigurnost hrane,1,1
SPAR_05,Laboratory,Laboratorija,SPAR_05,Laboratorija,1,1
SPAR_06,Surveillance,Nadzor,SPAR_06,Nadzor,1,1
SPAR_07,Human resources,Ljudski resursi,SPAR_07,Ljudski resursi,1,1
SPAR_08,National Health Emergency Framework,Nacionalni okvir za hitnu medicinsku pomoć,SPAR_08,Nacionalni okvir za hitnu medicinsku pomoć,1,1
SPAR_09,Health Service Provision,Pružanje zdravstvene usluge,SPAR_09,Pružanje zdravstvene usluge,1,1
SPAR_10,Risk Communication,Komunikacija o riziku,SPAR_10,Komunikacija o riziku,1,1
SPAR_11,Points of entry,Tačke ulaska,SPAR_11,Točke ulaska,1,1
SPAR_12,Chemical events,Hemijski događaji,SPAR_12,Kemijski događaji,1,1
SPAR_13,Radiation emergencies,Vanredne situacije u vezi sa zračenjem,SPAR_13,Izvanredne situacije u vezi sa zračenjem,1,1
