Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
DT_TDS_DECT,Debt service as a proportion of exports of goods and services,DT_TDS_DECT,DT_TDS_DECT,DT_TDS_DECT,1,1
EG_ACS_ELEC,Proportion of population with access to electricity,EG_ACS_ELEC,EG_ACS_ELEC,EG_ACS_ELEC,3,1
EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology,EG_EGY_CLEAN,EG_EGY_CLEAN,EG_EGY_CLEAN,1,1
EG_EGY_PRIM,Energy intensity level of primary energy,EG_EGY_PRIM,EG_EGY_PRIM,EG_EGY_PRIM,1,1
EG_FEC_RNEW,Renewable energy share in the total final energy consumption,EG_FEC_RNEW,EG_FEC_RNEW,EG_FEC_RNEW,1,1
EG_TBA_H2CO,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation,EG_TBA_H2CO,EG_TBA_H2CO,EG_TBA_H2CO,1,1
EG_TBA_H2COAQ,Proportion of transboundary aquifers with an operational arrangement for water cooperation,EG_TBA_H2COAQ,EG_TBA_H2COAQ,EG_TBA_H2COAQ,1,1
EG_TBA_H2CORL,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation,EG_TBA_H2CORL,EG_TBA_H2CORL,EG_TBA_H2CORL,1,1
EN_ATM_CO2,Carbon dioxide emissions from fuel combustion,EN_ATM_CO2,EN_ATM_CO2,EN_ATM_CO2,1,1
EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP,EN_ATM_CO2GDP,EN_ATM_CO2GDP,EN_ATM_CO2GDP,1,1
EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added,EN_ATM_CO2MVA,EN_ATM_CO2MVA,EN_ATM_CO2MVA,1,1
EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population",EN_ATM_PM25,EN_ATM_PM25,EN_ATM_PM25,2,1
EN_EWT_GENPCAP,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,EN_EWT_GENPCAP,EN_EWT_GENPCAP,1,1
EN_EWT_GENV,Electronic waste generated (Tonnes),EN_EWT_GENV,EN_EWT_GENV,EN_EWT_GENV,1,1
EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,EN_EWT_RCYPCAP,EN_EWT_RCYPCAP,2,2
EN_EWT_RCYR,"Electronic waste recycling, rate (%)",EN_EWT_RCYR,EN_EWT_RCYR,EN_EWT_RCYR,2,2
EN_EWT_RCYV,Electronic waste recycling (Tonnes),EN_EWT_RCYV,EN_EWT_RCYV,EN_EWT_RCYV,2,2
EN_H2O_GRAMBQ,Proportion of groundwater bodies with good ambient water quality,EN_H2O_GRAMBQ,EN_H2O_GRAMBQ,EN_H2O_GRAMBQ,1,1
EN_H2O_OPAMBQ,Proportion of open water bodies with good ambient water quality,EN_H2O_OPAMBQ,EN_H2O_OPAMBQ,EN_H2O_OPAMBQ,1,1
EN_H2O_RVAMBQ,Proportion of river water bodies with good ambient water quality,EN_H2O_RVAMBQ,EN_H2O_RVAMBQ,EN_H2O_RVAMBQ,1,1
EN_H2O_WBAMBQ,Proportion of bodies of water with good ambient water quality,EN_H2O_WBAMBQ,EN_H2O_WBAMBQ,EN_H2O_WBAMBQ,1,1
EN_HAZ_GENGDP,"Hazardous waste generated, per unit of GDP",EN_HAZ_GENGDP,EN_HAZ_GENGDP,EN_HAZ_GENGDP,1,1
EN_HAZ_GENV,Hazardous waste generated (Tonnes),EN_HAZ_GENV,EN_HAZ_GENV,EN_HAZ_GENV,1,1
EN_HAZ_PCAP,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,EN_HAZ_PCAP,EN_HAZ_PCAP,1,1
EN_LND_SLUM,Proportion of urban population living in slums,EN_LND_SLUM,EN_LND_SLUM,EN_LND_SLUM,1,1
EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material",EN_MAT_DOMCMPC,EN_MAT_DOMCMPC,EN_MAT_DOMCMPC,34,2
EN_MAT_DOMCMPG,Domestic material consumption per unit of GDP,EN_MAT_DOMCMPG,EN_MAT_DOMCMPG,EN_MAT_DOMCMPG,34,2
EN_MAT_DOMCMPT,Domestic material consumption,EN_MAT_DOMCMPT,EN_MAT_DOMCMPT,EN_MAT_DOMCMPT,34,2
EN_REF_WASCOL,"Municipal Solid Waste collection coverage, by cities (%)",EN_REF_WASCOL,EN_REF_WASCOL,EN_REF_WASCOL,1,1
EN_SCP_FSHGDP,Sustainable fisheries as a proportion of GDP,EN_SCP_FSHGDP,EN_SCP_FSHGDP,EN_SCP_FSHGDP,1,1
EN_WBE_PMNR,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,EN_WBE_PMNR,EN_WBE_PMNR,1,1
EN_WBE_PMPN,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,EN_WBE_PMPN,EN_WBE_PMPN,1,1
EN_WBE_PMPR,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,EN_WBE_PMPR,EN_WBE_PMPR,1,1
EN_WWT_WWDS,Proportion of safely treated domestic wastewater flows,EN_WWT_WWDS,EN_WWT_WWDS,EN_WWT_WWDS,1,1
ER_BDY_ABT2NP,Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO),ER_BDY_ABT2NP,ER_BDY_ABT2NP,ER_BDY_ABT2NP,1,1
ER_BDY_SEEA,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting  (1 = YES; 0 = NO)",ER_BDY_SEEA,ER_BDY_SEEA,ER_BDY_SEEA,1,1
ER_CBD_ABSCLRHS,"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO)",ER_CBD_ABSCLRHS,ER_CBD_ABSCLRHS,ER_CBD_ABSCLRHS,1,1
ER_CBD_NAGOYA,Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO),ER_CBD_NAGOYA,ER_CBD_NAGOYA,ER_CBD_NAGOYA,1,1
ER_CBD_ORSPGRFA,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO)",ER_CBD_ORSPGRFA,ER_CBD_ORSPGRFA,ER_CBD_ORSPGRFA,1,1
ER_CBD_PTYPGRFA,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO),ER_CBD_PTYPGRFA,ER_CBD_PTYPGRFA,ER_CBD_PTYPGRFA,1,1
ER_CBD_SMTA,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,ER_CBD_SMTA,ER_CBD_SMTA,ER_CBD_SMTA,1,1
ER_GRF_ANIMRCNTN,Number of local breeds for which sufficient genetic resources are stored for reconstitution,ER_GRF_ANIMRCNTN,ER_GRF_ANIMRCNTN,ER_GRF_ANIMRCNTN,1,1
ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),ER_GRF_PLNTSTOR,ER_GRF_PLNTSTOR,ER_GRF_PLNTSTOR,1,1
ER_H2O_IWRMD,Degree of integrated water resources management implementation,ER_H2O_IWRMD,ER_H2O_IWRMD,ER_H2O_IWRMD,1,1
ER_H2O_PRDU,"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)",ER_H2O_PRDU,ER_H2O_PRDU,ER_H2O_PRDU,1,1
ER_H2O_RURP,"Countries with users/communities participating in planning programs in rural drinking-water supply, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA)",ER_H2O_RURP,ER_H2O_RURP,ER_H2O_RURP,1,1
ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER_H2O_STRESS,ER_H2O_STRESS,ER_H2O_STRESS,1,1
ER_IAS_LEGIS,"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species (1 = YES, 0 = NO)",ER_IAS_LEGIS,ER_IAS_LEGIS,ER_IAS_LEGIS,1,1
ER_IAS_NBSAP,"National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020 (1 = YES, 0 = NO)",ER_IAS_NBSAP,ER_IAS_NBSAP,ER_IAS_NBSAP,1,1
ER_MTN_GRNCOV,Mountain green cover area (square kilometres),ER_MTN_GRNCOV,ER_MTN_GRNCOV,ER_MTN_GRNCOV,1,1
ER_MTN_GRNCVI,Mountain Green Cover Index,ER_MTN_GRNCVI,ER_MTN_GRNCVI,ER_MTN_GRNCVI,1,1
ER_MTN_TOTL,Mountain area (square kilometres),ER_MTN_TOTL,ER_MTN_TOTL,ER_MTN_TOTL,1,1
ER_PTD_FRHWTR,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas,ER_PTD_FRHWTR,ER_PTD_FRHWTR,ER_PTD_FRHWTR,1,1
ER_PTD_MTN,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas,ER_PTD_MTN,ER_PTD_MTN,ER_PTD_MTN,1,1
ER_PTD_TERR,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas,ER_PTD_TERR,ER_PTD_TERR,ER_PTD_TERR,1,1
ER_RSK_LST,Red List Index,ER_RSK_LST,ER_RSK_LST,ER_RSK_LST,1,1
ER_WAT_PART,"Countries with users/communities participating in planning programs in water resources planning and management, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA)",ER_WAT_PART,ER_WAT_PART,ER_WAT_PART,1,1
ER_WAT_PRDU,"Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)",ER_WAT_PRDU,ER_WAT_PRDU,ER_WAT_PRDU,1,1
FB_ATM_TOTL,"Number of automated teller machines (ATMs) per 100,000 adults",FB_ATM_TOTL,FB_ATM_TOTL,FB_ATM_TOTL,1,1
FB_BNK_ACCSS,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider,FB_BNK_ACCSS,FB_BNK_ACCSS,FB_BNK_ACCSS,3,1
FB_CBK_BRCH,"Number of commercial bank branches per 100,000 adults",FB_CBK_BRCH,FB_CBK_BRCH,FB_CBK_BRCH,1,1
FC_ACC_SSID,Proportion of small-scale industries with a loan or line of credit,FC_ACC_SSID,FC_ACC_SSID,FC_ACC_SSID,1,1
FI_FSI_FSANL,Non-performing loans to total gross loans (%),FI_FSI_FSANL,FI_FSI_FSANL,FI_FSI_FSANL,1,1
FI_FSI_FSERA,Return on assets (%),FI_FSI_FSERA,FI_FSI_FSERA,FI_FSI_FSERA,1,1
FI_FSI_FSKA,Regulatory capital to assets (%),FI_FSI_FSKA,FI_FSI_FSKA,FI_FSI_FSKA,1,1
FI_FSI_FSKNL,Non-performing loans net of provisions to capital (%),FI_FSI_FSKNL,FI_FSI_FSKNL,FI_FSI_FSKNL,1,1
FI_FSI_FSKRTC,Regulatory Tier 1 capital to risk-weighted assets (%),FI_FSI_FSKRTC,FI_FSI_FSKRTC,FI_FSI_FSKRTC,1,1
FI_FSI_FSLS,Liquid assets to short term liabilities (%),FI_FSI_FSLS,FI_FSI_FSLS,FI_FSI_FSLS,1,1
FI_FSI_FSSNO,Net open position in foreign exchange to capital (%),FI_FSI_FSSNO,FI_FSI_FSSNO,FI_FSI_FSSNO,1,1
GB_POP_SCIERD,Researchers (in full-time equivalent) per million inhabitants,GB_POP_SCIERD,GB_POP_SCIERD,GB_POP_SCIERD,1,1
GB_XPD_RSDV,Research and development expenditure as a proportion of GDP,GB_XPD_RSDV,GB_XPD_RSDV,GB_XPD_RSDV,1,1
GC_GOB_TAXD,Proportion of domestic budget funded by domestic taxes,GC_GOB_TAXD,GC_GOB_TAXD,GC_GOB_TAXD,1,1
GF_FRN_FDI,Foreign direct investment (FDI) inflows,GF_FRN_FDI,GF_FRN_FDI,GF_FRN_FDI,1,1
GF_XPD_GBPC,Primary government expenditures as a proportion of original approved budget,GF_XPD_GBPC,GF_XPD_GBPC,GF_XPD_GBPC,1,1
GR_G14_GDP,Total government revenue as a proportion of GDP,GR_G14_GDP,GR_G14_GDP,GR_G14_GDP,1,1
GR_G14_XDC,"Total government revenue, in local currency",GR_G14_XDC,GR_G14_XDC,GR_G14_XDC,1,1
IC_FRM_BRIB,Bribery incidence (% of firms experiencing at least one bribe payment request),IC_FRM_BRIB,IC_FRM_BRIB,IC_FRM_BRIB,1,1
IC_GEN_MGTL,Proportion of women in managerial positions,IC_GEN_MGTL,IC_GEN_MGTL,IC_GEN_MGTL,1,1
IC_GEN_MGTN,Proportion of women in senior and middle management positions,IC_GEN_MGTN,IC_GEN_MGTN,IC_GEN_MGTN,1,1
IS_RDP_FRGVOL,Freight volume (tonne kilometres),IS_RDP_FRGVOL,IS_RDP_FRGVOL,IS_RDP_FRGVOL,3,1
IS_RDP_PFVOL,Passenger volume (passenger kilometres),IS_RDP_PFVOL,IS_RDP_PFVOL,IS_RDP_PFVOL,2,1
IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network,IT_MOB_2GNTWK,IT_MOB_2GNTWK,IT_MOB_2GNTWK,1,1
IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network,IT_MOB_3GNTWK,IT_MOB_3GNTWK,IT_MOB_3GNTWK,1,1
IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network,IT_MOB_4GNTWK,IT_MOB_4GNTWK,IT_MOB_4GNTWK,1,1
IT_NET_BBND,Fixed broadband subscriptions per 100 inhabitants,IT_NET_BBND,IT_NET_BBND,IT_NET_BBND,4,1
IT_NET_BBNDN,Fixed broadband subscriptions (number),IT_NET_BBNDN,IT_NET_BBNDN,IT_NET_BBNDN,4,1
IT_USE_II99,Internet users per 100 inhabitants,IT_USE_II99,IT_USE_II99,IT_USE_II99,1,1
IU_COR_BRIB,Prevalence rate of bribery,IU_COR_BRIB,IU_COR_BRIB,IU_COR_BRIB,3,1
NV_IND_MANF,Manufacturing value added as a proportion of GDP,NV_IND_MANF,NV_IND_MANF,NV_IND_MANF,1,1
NV_IND_MANFPC,Manufacturing value added per capita,NV_IND_MANFPC,NV_IND_MANFPC,NV_IND_MANFPC,1,1
NV_IND_SSIS,Proportion of small-scale industries in total industry value added,NV_IND_SSIS,NV_IND_SSIS,NV_IND_SSIS,1,1
NV_IND_TECH,Proportion of medium and high-tech industry value added in total value added,NV_IND_TECH,NV_IND_TECH,NV_IND_TECH,1,1
NY_GDP_PCAP,Annual growth rate of real GDP per capita,NY_GDP_PCAP,NY_GDP_PCAP,NY_GDP_PCAP,1,1
SD_CPA_UPRDP,"Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO) 
SD_CPA_UPRDP",SD_CPA_UPRDP,SD_CPA_UPRDP,SD_CPA_UPRDP,1,1
SE_ADT_ACTS,Proportion of youth and adults with information and communications technology (ICT) skills,SE_ADT_ACTS,SE_ADT_ACTS,SE_ADT_ACTS,24,1
SE_ADT_EDUCTRN,Participation rate in formal and non-formal education and training,SE_ADT_EDUCTRN,SE_ADT_EDUCTRN,SE_ADT_EDUCTRN,3,1
SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level",SE_AGP_CPRA,SE_AGP_CPRA,SE_AGP_CPRA,53,1
SE_ALP_CPLR,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level",SE_ALP_CPLR,SE_ALP_CPLR,SE_ALP_CPLR,18,1
SE_AWP_CPRA,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level",SE_AWP_CPRA,SE_AWP_CPRA,SE_AWP_CPRA,27,1
SE_DEV_ONTRK,"Proportion of children who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",SE_DEV_ONTRK,SE_DEV_ONTRK,SE_DEV_ONTRK,1,1
SE_GPI_PART,Gender parity index for participation rate in formal and non-formal education and training,SE_GPI_PART,SE_GPI_PART,SE_GPI_PART,1,1
SE_LGP_ACHI,Language test parity index for achievement,SE_LGP_ACHI,SE_LGP_ACHI,SE_LGP_ACHI,2,1
SE_NAP_ACHI,Native parity index for achievement,SE_NAP_ACHI,SE_NAP_ACHI,SE_NAP_ACHI,2,1
SE_TOT_CPLR,"Completion rate, by sex, location, wealth quintile and education level (%)",SE_TOT_CPLR,SE_TOT_CPLR,SE_TOT_CPLR,81,1
SE_TOT_GPI,Gender parity index for achievement,SE_TOT_GPI,SE_TOT_GPI,SE_TOT_GPI,2,1
SE_TOT_PRFL,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics,SE_TOT_PRFL,SE_TOT_PRFL,SE_TOT_PRFL,6,1
SE_TOT_RUPI,Rural to urban parity index for achievement,SE_TOT_RUPI,SE_TOT_RUPI,SE_TOT_RUPI,2,1
SE_TOT_SESPI,Low to high socio-economic parity status index for achievement,SE_TOT_SESPI,SE_TOT_SESPI,SE_TOT_SESPI,2,1
SG_DMK_PARLCC_LC,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral",SG_DMK_PARLCC_LC,SG_DMK_PARLCC_LC,SG_DMK_PARLCC_LC,5,1
SG_DMK_PARLCC_UC,"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber",SG_DMK_PARLCC_UC,SG_DMK_PARLCC_UC,SG_DMK_PARLCC_UC,5,1
SG_DMK_PARLMP_LC,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral",SG_DMK_PARLMP_LC,SG_DMK_PARLMP_LC,SG_DMK_PARLMP_LC,1,1
SG_DMK_PARLMP_UC,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber",SG_DMK_PARLMP_UC,SG_DMK_PARLMP_UC,SG_DMK_PARLMP_UC,1,1
SG_DMK_PARLSP_LC,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",SG_DMK_PARLSP_LC,SG_DMK_PARLSP_LC,SG_DMK_PARLSP_LC,2,1
SG_DMK_PARLSP_UC,"Number of speakers in parliament, by age and sex, Upper Chamber",SG_DMK_PARLSP_UC,SG_DMK_PARLSP_UC,SG_DMK_PARLSP_UC,1,1
SG_DSR_SILN,Number of local governments that adopt and implement local DRR strategies in line with national strategies,SG_DSR_SILN,SG_DSR_SILN,SG_DSR_SILN,3,3
SG_DSR_SILS,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,SG_DSR_SILS,SG_DSR_SILS,SG_DSR_SILS,3,3
SG_GEN_EQPWN,Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment,SG_GEN_EQPWN,SG_GEN_EQPWN,SG_GEN_EQPWN,1,1
SG_GEN_LOCGELS,Proportion of elected seats held by women in deliberative bodies of local government,SG_GEN_LOCGELS,SG_GEN_LOCGELS,SG_GEN_LOCGELS,1,1
SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),SG_GEN_PARL,SG_GEN_PARL,SG_GEN_PARL,1,1
SG_GEN_PARLN,Number of seats held by women in national parliaments,SG_GEN_PARLN,SG_GEN_PARLN,SG_GEN_PARLN,1,1
SG_GEN_PARLNT,Number of seats in national parliaments,SG_GEN_PARLNT,SG_GEN_PARLNT,SG_GEN_PARLNT,1,1
SG_GOV_LOGV,Number of local governments,SG_GOV_LOGV,SG_GOV_LOGV,SG_GOV_LOGV,2,2
SG_HAZ_CMRBASEL,Compliance with the Basel Convention on hazardous waste and other chemicals,SG_HAZ_CMRBASEL,SG_HAZ_CMRBASEL,SG_HAZ_CMRBASEL,1,1
SG_HAZ_CMRMNTRL,Compliance with the Montreal Protocol on hazardous waste and other chemicals,SG_HAZ_CMRMNTRL,SG_HAZ_CMRMNTRL,SG_HAZ_CMRMNTRL,1,1
SG_HAZ_CMRROTDAM,Compliance with the Rotterdam Convention on hazardous waste and other chemicals,SG_HAZ_CMRROTDAM,SG_HAZ_CMRROTDAM,SG_HAZ_CMRROTDAM,1,1
SG_HAZ_CMRSTHOLM,Compliance with the Stockholm Convention on hazardous waste and other chemicals,SG_HAZ_CMRSTHOLM,SG_HAZ_CMRSTHOLM,SG_HAZ_CMRSTHOLM,1,1
SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",SG_INF_ACCSS,SG_INF_ACCSS,SG_INF_ACCSS,1,1
SG_INT_MBRDEV,"Proportion of members of developing countries in international organizations, by organization",SG_INT_MBRDEV,SG_INT_MBRDEV,SG_INT_MBRDEV,12,2
SG_INT_VRTDEV,"Proportion of voting rights of developing countries in international organizations, by organization",SG_INT_VRTDEV,SG_INT_VRTDEV,SG_INT_VRTDEV,12,2
SG_NHR_IMPLN,"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO)",SG_NHR_IMPLN,SG_NHR_IMPLN,SG_NHR_IMPLN,1,1
SG_NHR_NOAPPLN,"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO)",SG_NHR_NOAPPLN,SG_NHR_NOAPPLN,SG_NHR_NOAPPLN,1,1
SG_PLN_RECNDI,Proportion of new development interventions drawn from country-led result frameworks - data by recipient (%),SG_PLN_RECNDI,SG_PLN_RECNDI,SG_PLN_RECNDI,1,1
SG_PLN_RECRICTRY,Proportion of results indicators drawn from country-led results frameworks - data by recipient (%),SG_PLN_RECRICTRY,SG_PLN_RECRICTRY,SG_PLN_RECRICTRY,1,1
SG_PLN_RECRIMON,Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient (%),SG_PLN_RECRIMON,SG_PLN_RECRIMON,SG_PLN_RECRIMON,1,1
SG_PLN_REPOLRES,Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by recipient (%),SG_PLN_REPOLRES,SG_PLN_REPOLRES,SG_PLN_REPOLRES,1,1
SG_REG_BRTH,Proportion of children under 5 years of age whose births have been registered with a civil authority,SG_REG_BRTH,SG_REG_BRTH,SG_REG_BRTH,1,1
SG_REG_BRTH90N,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),SG_REG_BRTH90N,SG_REG_BRTH90N,SG_REG_BRTH90N,1,1
SG_REG_CENSUSN,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),SG_REG_CENSUSN,SG_REG_CENSUSN,SG_REG_CENSUSN,1,1
SG_REG_DETH75N,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),SG_REG_DETH75N,SG_REG_DETH75N,SG_REG_DETH75N,1,1
SG_STT_CAPTY,Dollar value of all resources made available to strengthen statistical capacity in developing countries,SG_STT_CAPTY,SG_STT_CAPTY,SG_STT_CAPTY,1,1
SG_STT_FPOS,Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics (1 = YES; 0 = NO),SG_STT_FPOS,SG_STT_FPOS,SG_STT_FPOS,1,1
SG_STT_NSDSFDDNR,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),SG_STT_NSDSFDDNR,SG_STT_NSDSFDDNR,SG_STT_NSDSFDDNR,1,1
SG_STT_NSDSFDGVT,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),SG_STT_NSDSFDGVT,SG_STT_NSDSFDGVT,SG_STT_NSDSFDGVT,1,1
SG_STT_NSDSFND,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),SG_STT_NSDSFND,SG_STT_NSDSFND,SG_STT_NSDSFND,1,1
SG_STT_NSDSIMPL,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),SG_STT_NSDSIMPL,SG_STT_NSDSIMPL,SG_STT_NSDSIMPL,1,1
