Year,SERIES,UNIT_MEASURE,Economic activity,Sex,Value
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,29.27798
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,30.1308
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,30.47912
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,32.500890000000005
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,29.349220000000003
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,30.454659999999997
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,95.62931
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,97.29556
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.10625
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.27624
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,95.90703
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.64296999999999
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.13205
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,95.96992
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,93.96121
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,95.00421999999999
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.69173
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.09827
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,95.64754
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Female,96.74566999999999
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,18.89549
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,16.87185
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,15.72685
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,12.81741
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,14.302370000000002
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,12.00905
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,13.178889999999999
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,12.785969999999999
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,12.49147
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,13.839789999999999
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,12.686169999999999
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,14.72831
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,14.770029999999998
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Female,12.58121
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,35.76331
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,34.037859999999995
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,33.62942
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,34.30956
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,32.87607
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,29.739790000000003
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,31.98685
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,28.7234
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,26.763790000000004
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,27.47632
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,27.58383
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,30.993879999999997
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,27.73245
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Female,29.80919
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,85.92636999999999
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,87.0791
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,88.19074
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,87.03985
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,86.27805
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,86.56123000000001
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,87.17437
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,87.87396
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,87.16771999999999
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,87.28769
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,86.16017
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,86.07518
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,83.88409
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Male,86.98255999999999
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,27.635279999999998
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,27.268359999999998
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,24.05602
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,21.29026
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,20.23733
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,18.809829999999998
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,22.10485
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,20.58875
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,19.35245
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,19.082629999999998
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,20.16743
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,21.69416
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,20.45402
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Male,19.84486
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,39.157509999999995
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,38.640390000000004
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,36.65426
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,33.49041
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,32.0531
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,31.5605
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,34.67903
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,33.16267
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,30.759140000000002
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,31.71107
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,32.10042
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,33.4094
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,30.313909999999996
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Male,30.856540000000003
