Year,SERIES,UNIT_MEASURE,Type of product,Value
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44109
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44373
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Crop residues,0.44522
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.78252
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.96035
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.91005
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.70382
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.16575
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.13724
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.0991
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.9999899999999999
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.12432
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.10228
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.02572
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.03314
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,0.9197700000000001
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.11168
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.0792899999999999
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.1031799999999998
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.12427
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Crops,1.1425299999999998
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.09637000000000001
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.07
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.05615
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.07191
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.09727000000000001
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.51046
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.54694
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.5303
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.64051
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.62278
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.22601
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.28901
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.26200999999999997
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.36324
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.3897
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.42133000000000004
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.45208999999999994
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Ferrous ores,0.4819
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.3088
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.31477
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.37475
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.53438
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.62888
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.73894
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.98715
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,2.96034
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.40927
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.6106800000000003
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.54872
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.07718
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.9123
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.8677300000000003
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,3.87477
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.3249
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.48257
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Fossil fuels,4.62956
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04529
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.0296
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.02797
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.03653
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.05754
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.06833
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.07193
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.07612999999999999
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.07576000000000001
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.043410000000000004
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04584
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.05264
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04902
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.038610000000000005
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.0363
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.045860000000000005
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.045939999999999995
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Natural gas,0.04589
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.057339999999999995
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.01722
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.00274
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.00314
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.00411
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.03204
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.09852999999999999
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.20202
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.16985
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.17390999999999998
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.24879
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.23406
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.20314000000000002
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.20697
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.20814000000000002
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.22899999999999998
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.24944000000000002
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Grazed biomass and fodder crops,0.26938
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.16399
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.09387000000000001
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.07503
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.23986
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.27573000000000003
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.76364
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.73469
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.6991
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.8780100000000001
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.74851
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.46251000000000003
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.52544
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.50998
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.60932
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.60614
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.6509999999999999
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.69447
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Metal ores,0.73645
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.06762
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.02386
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.01888
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.16795
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.17845999999999998
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.25318
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.18775
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.1688
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.23749
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.12573
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.2365
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.23643000000000003
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.24796999999999997
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.24609
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.21644000000000002
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.22966999999999999
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.24238
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-ferrous ores,0.25455
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.18913
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.25289
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.22996999999999998
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.12542999999999999
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.17804
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.26178
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.44653999999999994
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.60988
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.62429
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.52175
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.40621999999999997
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.50838
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.5100399999999999
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.44764
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.50547
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.53689
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.56709
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - industrial or agricultural dominant,0.59602
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,1.70268
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,1.87307
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,2.24856
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.8150199999999996
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.30196
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,2.54502
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.153
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.49718
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.75915
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.62215
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.78413
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.5870300000000004
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,3.8206800000000003
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.30092
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,4.68823
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,5.01912
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,5.33908
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals - construction dominant,5.64745
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,1.8918099999999998
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.12596
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.47853
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.94044
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.48001
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,2.8068
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,3.59954
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.107069999999999
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.38344
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.1439
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.19035
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.09541
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.3307199999999995
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,4.7485599999999994
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.1937
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.55601
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,5.90616
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Non-metallic minerals,6.243469999999999
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.30478
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.29778000000000004
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.28789000000000003
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.26750999999999997
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.31390999999999997
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.29618
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.31777
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.33863000000000004
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.39085
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.43693000000000004
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.44866999999999996
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.46463999999999994
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.42021000000000003
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.41303999999999996
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.38839
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.40346
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.41748
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Petroleum,0.43051000000000006
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00225
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.0023
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00296
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.0031100000000000004
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00361
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.004079999999999999
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00296
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00292
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.0029100000000000003
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00271
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00245
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00225
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.0023
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00246
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00248
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00246
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00242
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Wild catch and harvest,0.00238
2000,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.6580699999999999
2001,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.5795
2002,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.6501100000000001
2003,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.63242
2004,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.48413999999999996
2005,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.5090600000000001
2006,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.56101
2007,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.49105
2008,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.54082
2009,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.4581
2010,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.51753
2011,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.54586
2012,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.57248
2013,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.61619
2014,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.59812
2015,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.56402
2016,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.5637
2017,"Domestic material consumption per capita, by type of raw material",TONNES,Wood,0.56187
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,1.93849
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,1.9885099999999998
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.02977
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.3393200000000003
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.26058
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.15715
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.15715
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.3061700000000003
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.2313
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.3658799999999998
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.36948
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.26028
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.32958
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.29121
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.38481
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.40347
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.48015
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,No breakdown,2.5021
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.57457
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.6069
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.59854
