Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2008,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.19485
2009,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.11009000000000001
2010,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.02532
2011,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2012,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2013,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2014,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2015,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2016,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2017,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.0
2000,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.37296
2001,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.3382
2002,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.30343000000000003
2003,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.26866999999999996
2004,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.23390999999999998
2005,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.19914
2006,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.16438
2007,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.12961
2008,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.09485
2009,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.06009
2010,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.02532
2011,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2012,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2013,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2014,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2015,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2016,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2017,Удио становништва које практикује отворену дефекацију,Проценат,Урбано,0.0
2000,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,18.75907
2001,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,18.54498
2002,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,18.66326
2003,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,18.82021
2004,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,18.97643
2005,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,19.133229999999998
2006,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,19.289720000000003
2007,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,19.4456
2008,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,19.6013
2009,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,19.75685
2010,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,19.91232
2011,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,20.067610000000002
2012,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,20.22277
2013,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,20.39251
2014,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,20.594170000000002
2015,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,20.91505
2016,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,21.23535
2017,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Укупно,21.55497
2000,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,6.45104
2001,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,6.25821
2002,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,6.46762
2003,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,6.726439999999999
2004,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,6.9875300000000005
2005,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,7.249680000000001
2006,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,7.514010000000001
2007,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,7.780530000000001
2008,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,8.04923
2009,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,8.32012
2010,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,8.59319
2011,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,8.86843
2012,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,9.14586
2013,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,9.49302
2014,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,9.88303
2015,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,10.34628
2016,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,10.80952
2017,Удио становништва који користи санитарне услуге којима се сигурно управља,Проценат,Урбано,11.27276
2008,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.09766
2009,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.10578000000001
2010,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.1139
2011,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.12205
2012,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.13022
2013,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.13837
2014,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.14654
2015,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.15502
2016,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Укупно,97.1638
2008,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2009,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2010,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2011,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2012,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2013,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2014,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2015,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2016,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Рурално,95.95402
2008,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2009,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2010,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2011,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2012,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2013,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2014,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2015,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
2016,Удио становништва са основним уређајима за прање руку у просторијама,Проценат,Урбано,98.49996999999999
