Year,SERIES,UNIT_MEASURE,Привредна активност,Пол,Value
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,88.36454
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,91.25178000000001
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,24.64321
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,23.75937
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,21.15373
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,18.330270000000002
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,18.12443
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,16.328689999999998
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,18.90363
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,17.68838
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,16.82241
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,17.1006
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,17.474610000000002
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,19.11034
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,18.33754
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Оба пола или без подјеле по полу,17.14282
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,37.97401
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,37.05676
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,35.5773
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,33.79404
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,32.35771
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,30.884990000000002
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,33.687090000000005
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,31.506490000000003
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,29.27798
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,30.1308
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,30.47912
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,32.500890000000005
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,29.349220000000003
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Оба пола или без подјеле по полу,30.454659999999997
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,95.62931
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,97.29556
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.10625
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.27624
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,95.90703
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.64296999999999
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.13205
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,95.96992
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,93.96121
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,95.00421999999999
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.69173
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.09827
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,95.64754
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Жене,96.74566999999999
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,18.89549
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,16.87185
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,15.72685
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,12.81741
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,14.302370000000002
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,12.00905
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,13.178889999999999
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,12.785969999999999
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,12.49147
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,13.839789999999999
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,12.686169999999999
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,14.72831
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,14.770029999999998
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Жене,12.58121
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,35.76331
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,34.037859999999995
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,33.62942
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,34.30956
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,32.87607
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,29.739790000000003
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,31.98685
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,28.7234
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,26.763790000000004
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,27.47632
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,27.58383
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,30.993879999999997
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,27.73245
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Жене,29.80919
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,85.92636999999999
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,87.0791
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,88.19074
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,87.03985
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,86.27805
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,86.56123000000001
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,87.17437
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,87.87396
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,87.16771999999999
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,87.28769
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,86.16017
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,86.07518
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,83.88409
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Мушкарци,86.98255999999999
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,27.635279999999998
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,27.268359999999998
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,24.05602
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,21.29026
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,20.23733
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,18.809829999999998
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,22.10485
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,20.58875
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,19.35245
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,19.082629999999998
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,20.16743
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,21.69416
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,20.45402
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Непољопривредна,Мушкарци,19.84486
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,39.157509999999995
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,38.640390000000004
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,36.65426
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,33.49041
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,32.0531
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,31.5605
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,34.67903
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,33.16267
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,30.759140000000002
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,31.71107
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,32.10042
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,33.4094
2018,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,30.313909999999996
2019,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,Без подјеле,Мушкарци,30.856540000000003
