Year,SERIES,UNIT_MEASURE,Ниво образовања,Квантил дохотка или богатства,Пол,COMPOSITE_BREAKDOWN,Степен урбанизације,Value
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),,,Рурално,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Рурално,1.01019
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),,,Рурално,0.9580299999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,,,Рурално,0.9557399999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,,,Рурално,1.02983
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,,,Рурално,1.02649
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),,,Рурално,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Урбано,0.9967799999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 2,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 3,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 4,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 5 (најбогатији),,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Урбано,0.9983799999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 1 (најсиромашнији),,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,,,Урбано,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),,,Урбано,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Урбано,1.00534
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,,,Урбано,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),,,Урбано,0.0
2000,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,,0.9770399999999999
2006,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,,0.9983799999999999
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,,0.98434
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),Оба пола или без подјеле по полу,,,0.9843299999999999
2000,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,Оба пола или без подјеле по полу,,,0.9963799999999999
2006,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,Оба пола или без подјеле по полу,,,1.01804
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,Оба пола или без подјеле по полу,,,0.9974700000000001
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,Оба пола или без подјеле по полу,,,0.9871700000000001
2000,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Оба пола или без подјеле по полу,,,0.60731
2006,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Оба пола или без подјеле по полу,,,0.6078600000000001
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Оба пола или без подјеле по полу,,,0.9377
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),Оба пола или без подјеле по полу,,,0.91663
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Жене,,,0.98805
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),Жене,,,0.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,Жене,,,1.00079
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,Жене,,,0.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Жене,,,0.9401700000000001
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),Жене,,,0.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,,0.98121
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),Мушкарци,,,0.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,Мушкарци,,,0.9941700000000001
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,Мушкарци,,,0.0
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,Мушкарци,,,0.9355899999999999
2012,"Прилагођени индекс паритета локације за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),Мушкарци,,,0.0
2006,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Укупно,0.95734
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Укупно,0.90817
2006,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Укупно,0.9952
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Укупно,0.9966700000000001
2006,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Укупно,0.40562
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Укупно,0.84739
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Укупно,0.86993
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,,Укупно,0.9940899999999999
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Укупно,0.8385799999999999
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Укупно,0.9547200000000001
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Укупно,1.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Укупно,0.85085
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Рурално,0.92155
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Рурално,0.9981200000000001
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Рурално,0.81684
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Рурално,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,,Рурално,0.9966299999999999
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Рурално,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Рурално,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Рурално,1.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Рурално,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Оба пола или без подјеле по полу,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Жене,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Жене,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Урбано,0.0
2012,"Прилагођени индекс паритета богатства за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,Мушкарци,,Урбано,0.0
2018,Индекс родног паритета за постигнућа,Однос,Ниже средње образовање,,,Математика,,1.00606
2018,Индекс родног паритета за постигнућа,Однос,Ниже средње образовање,,,Читање,,1.43035
2006,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,0.883600405130323
2007,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,0.891686129033341
2008,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,1.06196239724885
2010,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,0.9100838971852049
2011,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,0.9899659567143599
2012,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,1.05592578636944
2016,Индекс родног паритета за стопу учешћа у формалном и неформалном образовању и обуци,Однос,,,,,,0.9550561797752809
2018,Индекс паритета језичког теста за постигнућа,Однос,Ниже средње образовање,,,Математика,,0.902083532281409
2018,Индекс паритета језичког теста за постигнућа,Однос,Ниже средње образовање,,,Читање,,0.8539722510018991
2018,Ниски до високи индекс статуса социјално-економског паритета за постигнућа,Однос,Ниже средње образовање,,,Математика,,0.452756475702723
2018,Ниски до високи индекс статуса социјално-економског паритета за постигнућа,Однос,Ниже средње образовање,,,Читање,,0.498835485525049
2018,Изворни индекс паритета за постигнуће,Однос,Ниже средње образовање,,,Математика,,0.885883261376352
2018,Изворни индекс паритета за постигнуће,Однос,Ниже средње образовање,,,Читање,,0.792833837645942
2018,Индекс руралног према урбаном паритету за постигнућа,Однос,Ниже средње образовање,,,Математика,,0.582614943513902
2018,Индекс руралног према урбаном паритету за постигнућа,Однос,Ниже средње образовање,,,Читање,,0.555354166299471
