Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,SEX,COMPOSITE_BREAKDOWN,URBANISATION,Value
2012,SE_AGP_CPRA,RO,ISCED11_3,Q5,,,R,0.0
2012,SE_AGP_CPRA,RO,ISCED11_2,_T,,,U,0.9967799999999999
2012,SE_AGP_CPRA,RO,ISCED11_2,Q1,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q2,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q3,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q4,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_2,Q5,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_1,_T,,,U,0.9983799999999999
2012,SE_AGP_CPRA,RO,ISCED11_1,Q1,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q2,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q3,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q4,,,U,1.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q5,,,U,1.0
2012,SE_AGP_CPRA,RO,ISCED11_3,_T,,,U,1.00534
2012,SE_AGP_CPRA,RO,ISCED11_3,Q1,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q2,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q3,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q4,,,U,0.0
2012,SE_AGP_CPRA,RO,ISCED11_3,Q5,,,U,0.0
2000,SE_ALP_CPLR,RO,ISCED11_2,_T,_T,,,0.9770399999999999
2006,SE_ALP_CPLR,RO,ISCED11_2,_T,_T,,,0.9983799999999999
2012,SE_ALP_CPLR,RO,ISCED11_2,_T,_T,,,0.98434
2012,SE_ALP_CPLR,RO,ISCED11_2,Q1,_T,,,0.9843299999999999
2000,SE_ALP_CPLR,RO,ISCED11_1,Q2,_T,,,0.9963799999999999
2006,SE_ALP_CPLR,RO,ISCED11_1,Q2,_T,,,1.01804
2012,SE_ALP_CPLR,RO,ISCED11_1,Q2,_T,,,0.9974700000000001
2012,SE_ALP_CPLR,RO,ISCED11_1,Q3,_T,,,0.9871700000000001
2000,SE_ALP_CPLR,RO,ISCED11_3,Q4,_T,,,0.60731
2006,SE_ALP_CPLR,RO,ISCED11_3,Q4,_T,,,0.6078600000000001
2012,SE_ALP_CPLR,RO,ISCED11_3,Q4,_T,,,0.9377
2012,SE_ALP_CPLR,RO,ISCED11_3,Q5,_T,,,0.91663
2012,SE_ALP_CPLR,RO,ISCED11_2,_T,F,,,0.98805
2012,SE_ALP_CPLR,RO,ISCED11_2,Q1,F,,,0.0
2012,SE_ALP_CPLR,RO,ISCED11_1,Q2,F,,,1.00079
2012,SE_ALP_CPLR,RO,ISCED11_1,Q3,F,,,0.0
2012,SE_ALP_CPLR,RO,ISCED11_3,Q4,F,,,0.9401700000000001
2012,SE_ALP_CPLR,RO,ISCED11_3,Q5,F,,,0.0
2012,SE_ALP_CPLR,RO,ISCED11_2,_T,M,,,0.98121
2012,SE_ALP_CPLR,RO,ISCED11_2,Q1,M,,,0.0
2012,SE_ALP_CPLR,RO,ISCED11_1,Q2,M,,,0.9941700000000001
2012,SE_ALP_CPLR,RO,ISCED11_1,Q3,M,,,0.0
2012,SE_ALP_CPLR,RO,ISCED11_3,Q4,M,,,0.9355899999999999
2012,SE_ALP_CPLR,RO,ISCED11_3,Q5,M,,,0.0
2006,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,_T,0.95734
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,_T,0.90817
2006,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,_T,0.9952
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,_T,0.9966700000000001
2006,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,_T,0.40562
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,_T,0.84739
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,F,,_T,0.86993
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,F,,_T,0.9940899999999999
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,F,,_T,0.8385799999999999
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,M,,_T,0.9547200000000001
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,M,,_T,1.0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,M,,_T,0.85085
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,R,0.92155
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,R,0.9981200000000001
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,R,0.81684
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,F,,R,0.0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,F,,R,0.9966299999999999
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,F,,R,0.0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,M,,R,0.0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,M,,R,1.0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,M,,R,0.0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,_T,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,_T,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,_T,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,F,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,F,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,F,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_2,_T,M,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_1,_T,M,,U,0.0
2012,SE_AWP_CPRA,RO,ISCED11_3,_T,M,,U,0.0
2018,SE_TOT_GPI,RO,ISCED11_2,,,SKILL_MATH,,1.00606
2018,SE_TOT_GPI,RO,ISCED11_2,,,SKILL_READ,,1.43035
2006,SE_GPI_PART,RO,,,,,,0.883600405130323
2007,SE_GPI_PART,RO,,,,,,0.891686129033341
2008,SE_GPI_PART,RO,,,,,,1.06196239724885
2010,SE_GPI_PART,RO,,,,,,0.9100838971852049
2011,SE_GPI_PART,RO,,,,,,0.9899659567143599
2012,SE_GPI_PART,RO,,,,,,1.05592578636944
2016,SE_GPI_PART,RO,,,,,,0.9550561797752809
2018,SE_LGP_ACHI,RO,ISCED11_2,,,SKILL_MATH,,0.902083532281409
2018,SE_LGP_ACHI,RO,ISCED11_2,,,SKILL_READ,,0.8539722510018991
2018,SE_TOT_SESPI,RO,ISCED11_2,,,SKILL_MATH,,0.452756475702723
2018,SE_TOT_SESPI,RO,ISCED11_2,,,SKILL_READ,,0.498835485525049
2018,SE_NAP_ACHI,RO,ISCED11_2,,,SKILL_MATH,,0.885883261376352
2018,SE_NAP_ACHI,RO,ISCED11_2,,,SKILL_READ,,0.792833837645942
2018,SE_TOT_RUPI,RO,ISCED11_2,,,SKILL_MATH,,0.582614943513902
2018,SE_TOT_RUPI,RO,ISCED11_2,,,SKILL_READ,,0.555354166299471
