Year,Series,Units,Sex,Age,Value
2010,SL_TLF_UEM,% (PERCENT),MALE,15-24,55.48
2011,SL_TLF_UEM,% (PERCENT),MALE,15-24,56.44
2012,SL_TLF_UEM,% (PERCENT),MALE,15-24,62.64
2013,SL_TLF_UEM,% (PERCENT),MALE,15-24,59.08
2014,SL_TLF_UEM,% (PERCENT),MALE,15-24,60.98
2015,SL_TLF_UEM,% (PERCENT),MALE,15-24,59.52
2016,SL_TLF_UEM,% (PERCENT),MALE,15-24,52.05
2017,SL_TLF_UEM,% (PERCENT),MALE,15-24,43.11
2018,SL_TLF_UEM,% (PERCENT),MALE,15-24,35.45
2019,SL_TLF_UEM,% (PERCENT),MALE,15-24,31.27
2006,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,26.02
2007,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,24.37
2008,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,19.88
2009,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,20.56
2010,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,23.17
2011,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,23.75
2012,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,23.82
2013,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,23.77
2014,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,23.47
2015,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,23.33
2016,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,22.04
2017,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,17.49
2018,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,15.9
2019,SL_TLF_UEM,% (PERCENT),BOTHSEX,25+,13.52
2006,SL_TLF_UEM,% (PERCENT),FEMALE,25+,29.59
2007,SL_TLF_UEM,% (PERCENT),FEMALE,25+,28.06
2008,SL_TLF_UEM,% (PERCENT),FEMALE,25+,23.15
2009,SL_TLF_UEM,% (PERCENT),FEMALE,25+,22.0
2010,SL_TLF_UEM,% (PERCENT),FEMALE,25+,25.64
2011,SL_TLF_UEM,% (PERCENT),FEMALE,25+,26.38
2012,SL_TLF_UEM,% (PERCENT),FEMALE,25+,27.01
2013,SL_TLF_UEM,% (PERCENT),FEMALE,25+,26.03
2014,SL_TLF_UEM,% (PERCENT),FEMALE,25+,27.36
2015,SL_TLF_UEM,% (PERCENT),FEMALE,25+,26.5
2016,SL_TLF_UEM,% (PERCENT),FEMALE,25+,27.2
2017,SL_TLF_UEM,% (PERCENT),FEMALE,25+,20.34
2018,SL_TLF_UEM,% (PERCENT),FEMALE,25+,17.66
2019,SL_TLF_UEM,% (PERCENT),FEMALE,25+,16.61
2006,SL_TLF_UEM,% (PERCENT),MALE,25+,23.96
2007,SL_TLF_UEM,% (PERCENT),MALE,25+,22.28
2008,SL_TLF_UEM,% (PERCENT),MALE,25+,17.92
2009,SL_TLF_UEM,% (PERCENT),MALE,25+,19.68
2010,SL_TLF_UEM,% (PERCENT),MALE,25+,21.64
2011,SL_TLF_UEM,% (PERCENT),MALE,25+,22.09
2012,SL_TLF_UEM,% (PERCENT),MALE,25+,21.82
2013,SL_TLF_UEM,% (PERCENT),MALE,25+,22.35
2014,SL_TLF_UEM,% (PERCENT),MALE,25+,20.96
2015,SL_TLF_UEM,% (PERCENT),MALE,25+,21.28
2016,SL_TLF_UEM,% (PERCENT),MALE,25+,18.76
2017,SL_TLF_UEM,% (PERCENT),MALE,25+,15.62
2018,SL_TLF_UEM,% (PERCENT),MALE,25+,14.78
2019,SL_TLF_UEM,% (PERCENT),MALE,25+,11.46
