Year,Series,Units,Location,Value
2007,SH_SAN_DEFECT,% (PERCENT),URBAN,0.12961
2008,SH_SAN_DEFECT,% (PERCENT),URBAN,0.09485
2009,SH_SAN_DEFECT,% (PERCENT),URBAN,0.06009
2010,SH_SAN_DEFECT,% (PERCENT),URBAN,0.02532
2011,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2012,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2013,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2014,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2015,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2016,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2017,SH_SAN_DEFECT,% (PERCENT),URBAN,0.0
2000,SH_SAN_SAFE,% (PERCENT),ALL AREA,18.75907
2001,SH_SAN_SAFE,% (PERCENT),ALL AREA,18.54498
2002,SH_SAN_SAFE,% (PERCENT),ALL AREA,18.66326
2003,SH_SAN_SAFE,% (PERCENT),ALL AREA,18.82021
2004,SH_SAN_SAFE,% (PERCENT),ALL AREA,18.97643
2005,SH_SAN_SAFE,% (PERCENT),ALL AREA,19.13323
2006,SH_SAN_SAFE,% (PERCENT),ALL AREA,19.28972
2007,SH_SAN_SAFE,% (PERCENT),ALL AREA,19.4456
2008,SH_SAN_SAFE,% (PERCENT),ALL AREA,19.6013
2009,SH_SAN_SAFE,% (PERCENT),ALL AREA,19.75685
2010,SH_SAN_SAFE,% (PERCENT),ALL AREA,19.91232
2011,SH_SAN_SAFE,% (PERCENT),ALL AREA,20.06761
2012,SH_SAN_SAFE,% (PERCENT),ALL AREA,20.22277
2013,SH_SAN_SAFE,% (PERCENT),ALL AREA,20.39251
2014,SH_SAN_SAFE,% (PERCENT),ALL AREA,20.59417
2015,SH_SAN_SAFE,% (PERCENT),ALL AREA,20.91505
2016,SH_SAN_SAFE,% (PERCENT),ALL AREA,21.23535
2017,SH_SAN_SAFE,% (PERCENT),ALL AREA,21.55497
2000,SH_SAN_SAFE,% (PERCENT),URBAN,6.45104
2001,SH_SAN_SAFE,% (PERCENT),URBAN,6.25821
2002,SH_SAN_SAFE,% (PERCENT),URBAN,6.46762
2003,SH_SAN_SAFE,% (PERCENT),URBAN,6.72644
2004,SH_SAN_SAFE,% (PERCENT),URBAN,6.98753
2005,SH_SAN_SAFE,% (PERCENT),URBAN,7.24968
2006,SH_SAN_SAFE,% (PERCENT),URBAN,7.51401
2007,SH_SAN_SAFE,% (PERCENT),URBAN,7.78053
2008,SH_SAN_SAFE,% (PERCENT),URBAN,8.04923
2009,SH_SAN_SAFE,% (PERCENT),URBAN,8.32012
2010,SH_SAN_SAFE,% (PERCENT),URBAN,8.59319
2011,SH_SAN_SAFE,% (PERCENT),URBAN,8.86843
2012,SH_SAN_SAFE,% (PERCENT),URBAN,9.14586
2013,SH_SAN_SAFE,% (PERCENT),URBAN,9.49302
2014,SH_SAN_SAFE,% (PERCENT),URBAN,9.88303
2015,SH_SAN_SAFE,% (PERCENT),URBAN,10.34628
2016,SH_SAN_SAFE,% (PERCENT),URBAN,10.80952
2017,SH_SAN_SAFE,% (PERCENT),URBAN,11.27276
2008,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.09766
2009,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.10578
2010,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.1139
2011,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.12205
2012,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.13022
2013,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.13837
2014,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.14654
2015,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.15502
2016,SH_SAN_HNDWSH,% (PERCENT),ALL AREA,97.1638
2008,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2009,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2010,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2011,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2012,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2013,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2014,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2015,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2016,SH_SAN_HNDWSH,% (PERCENT),RURAL,95.95402
2008,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2009,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2010,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2011,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2012,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2013,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2014,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2015,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
2016,SH_SAN_HNDWSH,% (PERCENT),URBAN,98.49997
