Year,Series,Units,Age,Sex,Name of non-communicable disease,Value
2015,SH_DTH_RNCOM,NUMBER,,BOTHSEX,DIA,2567.0
2016,SH_DTH_RNCOM,NUMBER,,BOTHSEX,DIA,2552.0
2000,SH_DTH_RNCOM,NUMBER,,FEMALE,DIA,657.0
2005,SH_DTH_RNCOM,NUMBER,,FEMALE,DIA,1234.0
2010,SH_DTH_RNCOM,NUMBER,,FEMALE,DIA,1518.0
2015,SH_DTH_RNCOM,NUMBER,,FEMALE,DIA,1522.0
2016,SH_DTH_RNCOM,NUMBER,,FEMALE,DIA,1511.0
2000,SH_DTH_RNCOM,NUMBER,,BOTHSEX,RES,1298.0
2005,SH_DTH_RNCOM,NUMBER,,BOTHSEX,RES,1474.0
2010,SH_DTH_RNCOM,NUMBER,,BOTHSEX,RES,1475.0
2015,SH_DTH_RNCOM,NUMBER,,BOTHSEX,RES,1447.0
2016,SH_DTH_RNCOM,NUMBER,,BOTHSEX,RES,1448.0
2000,SH_DTH_RNCOM,NUMBER,,MALE,CAN,2917.0
2005,SH_DTH_RNCOM,NUMBER,,MALE,CAN,3493.0
2010,SH_DTH_RNCOM,NUMBER,,MALE,CAN,3891.0
2015,SH_DTH_RNCOM,NUMBER,,MALE,CAN,4257.0
2016,SH_DTH_RNCOM,NUMBER,,MALE,CAN,4307.0
2000,SH_DTH_RNCOM,NUMBER,,MALE,CAR,8614.0
2005,SH_DTH_RNCOM,NUMBER,,MALE,CAR,9652.0
2010,SH_DTH_RNCOM,NUMBER,,MALE,CAR,9318.0
2015,SH_DTH_RNCOM,NUMBER,,MALE,CAR,9235.0
2016,SH_DTH_RNCOM,NUMBER,,MALE,CAR,9298.0
2000,SH_DTH_RNCOM,NUMBER,,MALE,DIA,365.0
2005,SH_DTH_RNCOM,NUMBER,,MALE,DIA,791.0
2010,SH_DTH_RNCOM,NUMBER,,MALE,DIA,1004.0
2015,SH_DTH_RNCOM,NUMBER,,MALE,DIA,1045.0
2016,SH_DTH_RNCOM,NUMBER,,MALE,DIA,1040.0
2000,SH_DTH_RNCOM,NUMBER,,FEMALE,RES,564.0
2005,SH_DTH_RNCOM,NUMBER,,FEMALE,RES,584.0
2010,SH_DTH_RNCOM,NUMBER,,FEMALE,RES,597.0
2015,SH_DTH_RNCOM,NUMBER,,FEMALE,RES,575.0
2016,SH_DTH_RNCOM,NUMBER,,FEMALE,RES,580.0
2000,SH_DTH_RNCOM,NUMBER,,MALE,RES,735.0
2005,SH_DTH_RNCOM,NUMBER,,MALE,RES,890.0
2010,SH_DTH_RNCOM,NUMBER,,MALE,RES,879.0
2015,SH_DTH_RNCOM,NUMBER,,MALE,RES,872.0
2016,SH_DTH_RNCOM,NUMBER,,MALE,RES,868.0
